No,Nama File,Ukuran File(KB),Waktu Enkripsi (ms),Waktu Dekripsi (ms),Status
1,1754596368608-Price_List_Produk_ALS.xlsx.aes,10,1,1,Berhasil
2,Price_List_Produk_ALS.xlsx,10,1,0,Berhasil
